ID,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
943140,14.51527042,50.55462547,14.4307393,1,0,1,1,1
737340,61.12193312,0.665601269,12.09303549,1,0,0,1,1
16026,30.86891502,81.45296286,0.728938374,1,0,0,1,1
217209,245.356604,7.537194855,0.098458499,1,0,0,1,1
618139,9.583306386,3.249970851,7.125116121,1,0,0,1,1
904249,16.17788753,0.081405083,4.387104078,1,0,0,1,1
750432,401.1211098,2.73533152,0.628410426,1,0,0,1,1
333754,1.703507434,0.402539297,4.008647834,0,0,0,1,1
737927,1098.8558,1.816522012,1.004888853,1,0,0,1,1
472565,367.6883856,0.058357426,0.636617633,1,0,0,1,1
508138,20.29334873,90.64722133,0.327849898,1,0,0,1,1
211637,2.840834681,2.960792158,5.488656849,1,0,0,1,1
782876,5.519202823,1.70440159,5.669031836,1,0,0,1,1
315618,29.9761831,5.425078041,11.97895355,1,0,0,1,1
329239,1.687532878,7.041238243,6.009724083,0,0,0,1,1
208023,1.695086321,1.058931858,7.098114766,0,0,0,1,1
361800,51.85484549,0.506925829,11.85040694,1,1,0,1,1
62087,2.372217428,0.788898146,13.25917174,1,0,0,1,1
507004,128.5829264,11.37636614,2.833391776,1,0,0,1,1
568731,504.0956098,0.801915997,0.457262326,1,0,0,1,1
763852,109.1531196,0.801604671,0.804070376,1,0,0,1,1
868269,64.08111071,0.11985533,4.060077307,1,0,0,1,1
573856,128.2419818,2.253003544,0.234451949,1,0,0,1,1
481965,18.61955802,4.733518099,5.778407461,1,0,0,1,1
710845,7.588026336,0.056413576,12.70082374,1,1,0,1,1
216671,13.36185019,0.607075356,7.107020349,1,1,0,1,1
640593,36.01593074,0.947825395,13.57218008,1,0,0,1,1
770245,14.92900892,57.06437977,4.425761256,1,0,0,1,1
917937,6.822687389,0.806861144,18.42969517,1,1,0,1,1
118686,20.84870282,2.47928789,6.041840989,1,1,0,1,1
379414,121.2886651,0.370474251,6.394164584,1,0,0,1,1
30511,1.554443331,0.314955539,4.205025035,0,0,0,1,1
388894,55.60192042,0.145568578,5.369573256,1,1,0,1,1
18686,161.289302,0.062623575,0.226395568,1,0,0,1,1
895436,48.40655196,2.314627476,7.693381818,1,0,0,1,1
69463,5.500119462,0.091924402,4.073564112,1,0,0,1,1
230642,143.7294195,1.192543373,1.563528504,1,0,0,1,1
812800,24.44872001,0.355709939,17.32936489,1,1,0,1,1
433530,42.06456999,1.558080603,6.616103487,1,1,0,1,1
186515,253.7358992,0.0168838,8.175294592,1,0,0,1,1
188786,14.61216523,0.387643163,7.531771424,1,1,0,1,1
420647,4.904378085,0.391282531,4.285849283,1,1,0,1,1
925204,34.61349762,0.351246017,8.057505365,1,0,0,1,1
747751,0.787739235,1.584401772,6.15678954,0,0,0,1,1
505832,2.027103121,0.498302398,4.089819039,1,1,0,1,1
311582,4.874492564,0.881951311,8.361747181,1,0,0,1,1
269138,265.8228949,67.15051599,2.806323837,1,0,0,0,1
119154,59.40912118,2.956648603,9.485034711,1,0,0,1,1
341999,127.0586644,1.698149964,1.486498241,1,0,0,1,1
57541,0.779799661,1.410695486,4.929923563,0,1,0,1,1
616520,44.80273102,3.012888254,4.691388001,1,0,0,1,1
376851,19.5329023,3.898345182,6.376206529,1,0,0,1,1
698473,115.2026713,0.498357786,6.786188105,1,0,0,0,1
629159,23.18198184,10.48600766,5.769254646,1,0,0,1,1
489008,1.913695062,0.002963055,24.42116222,1,1,0,1,1
290385,7.220775438,0.498925201,5.011804852,1,1,0,1,1
895565,106.5818795,3.090862737,4.792581586,1,1,0,1,1
717396,472.0630969,12.60654217,1.137640354,1,0,0,1,1
371909,169.9650161,0.168493333,2.188806244,1,0,0,1,1
882815,320.1839224,0.767719123,1.159207371,1,0,0,1,1
771408,2.038892989,1.970343022,6.384858071,1,1,0,1,1
135910,13.64744109,7.076808083,4.476381062,1,1,0,1,1
56239,5.884364511,8.062471329,8.392307566,1,0,0,1,1
338634,98.06722445,1.313756357,9.923790603,1,0,0,1,1
623802,228.2063978,1.9408742,0.085956817,1,0,0,1,1
546928,36.79249471,0.017885923,5.228823321,1,0,0,1,1
647176,122.3813824,171.9523215,0.371267887,1,0,0,1,1
172667,168.1102138,5.120424551,1.994844402,1,0,0,1,1
558545,1.465043265,1.639012104,10.26714129,0,1,0,1,1
950863,15.59584438,3.093428094,10.55759016,1,0,0,1,1
435636,1.687209757,0.600556201,7.602566086,0,0,0,1,1
329297,10.24445221,8.347341393,7.136732156,1,0,0,1,1
370196,14.96990192,0.618674966,10.78288313,1,1,0,1,1
955708,5.765256025,174.3352606,0.709068892,1,0,0,1,1
328451,457.1297192,2.004080815,12.98301785,1,0,0,1,1
206051,2.912127533,0.829501959,11.45316653,1,1,0,1,1
277016,1.627277781,1.504270001,5.31809752,0,0,0,0,1
329876,2.90321486,0.136087075,4.448871755,1,0,0,1,1
416075,0.250652675,5.422259735,5.286107974,0,1,0,1,1
982428,1.729733815,0.888707926,4.771962687,0,1,0,1,1
533919,12.54454017,132.6875258,2.337137551,1,0,0,1,1
966807,281.2895822,100.3509179,0.222187614,1,0,0,0,1
595453,4.834608932,1.489678304,4.140698377,1,1,0,1,1
807506,3.095189036,29.47178636,4.374383074,1,0,0,1,1
912481,75.07869055,0.204084158,5.715332391,1,0,0,1,1
173840,9.64892199,3.833322018,12.54495021,1,0,0,1,1
79565,4.732018852,6.224844185,6.974240264,1,0,0,1,1
796194,67.25131196,0.133899018,4.579769718,1,0,0,1,1
399352,0.942164117,2.168853029,5.267656508,0,0,0,1,1
294173,5.29939328,4.476887446,24.3572196,1,1,0,1,1
265161,276.3194763,0.222847494,1.645122121,1,0,0,1,1
461698,23.94494399,0.021961449,16.3476058,1,0,0,1,1
382533,3.292303795,0.744159958,6.352122107,1,1,0,1,1
309242,26.08935536,1.328135527,4.432327718,1,0,0,1,1
777287,1.54321948,0.388907331,7.695797875,0,1,0,1,1
964842,8.314400734,0.219855456,5.320965104,1,1,0,1,1
511722,2.002333494,0.039112333,7.08734757,1,0,0,1,1
896621,29.48000185,1.016573307,4.062299382,1,1,0,1,1
780142,1.808297098,1.083836883,4.60483756,0,0,0,0,1
257904,11.87362138,0.220384182,7.937467922,1,1,0,1,1
565447,5.679558501,0.193720786,6.381421125,1,0,0,1,1
238230,40.10030268,2.325354364,5.261738596,1,0,0,1,1
873498,0.501937008,7.69877188,4.761411093,0,0,0,0,1
46042,3.009884998,1.186820382,5.099045,1,1,0,1,1
569243,7.755577693,0.317384615,4.11368238,1,1,0,1,1
700289,1.332001159,64.38496675,6.038729574,0,0,0,1,1
88191,4.972475382,0.589934107,5.367577917,1,0,0,1,1
352423,260.8878805,0.022629261,0.925803557,1,0,0,1,1
986119,34.6009583,14.58763653,6.431554661,1,0,0,1,1
526796,2.352342697,3.649685778,8.587194339,1,1,0,1,1
165412,44.03541771,0.006993566,6.824792641,1,0,0,1,1
935190,359.2752855,0.091655919,11.41392188,1,0,1,1,1
494329,103.075285,2.289442311,2.391868868,1,0,0,1,1
830874,284.498287,8.265361741,0.74325297,1,0,0,1,1
719597,1.769606748,0.399380002,8.436584368,0,0,0,0,1
582514,44.86790932,0.400738383,9.169174958,1,0,0,1,1
104523,7.414254697,30.04207657,5.783826134,1,1,0,1,1
26614,81.87955067,1.152758438,6.3858558,1,0,0,1,1
369435,0.406630248,2.367026789,4.538687368,0,0,0,1,1
523265,7.344551048,0.253619732,4.599845959,1,0,0,1,1
81356,12.09025318,0.041677389,4.531535537,1,1,0,1,1
349484,541.0989276,0.094793693,0.841204874,1,0,0,1,1
984242,19.95741014,7.71606697,11.15486505,1,1,0,1,1
408626,6.857674077,1.292705201,8.716603633,1,1,0,1,1
515971,58.7247427,0.302153019,6.252389162,1,0,0,1,1
977325,10.19971873,2.102332129,13.45175504,1,0,0,1,1
515899,112.4612078,26.81697581,2.647000565,1,0,0,1,1
549840,57.50339361,0.627606807,6.804131442,1,0,0,1,1
212661,18.80386765,8.673017276,17.780319,1,0,0,1,1
671202,733.2365974,1.487159844,1.774074152,1,0,0,1,1
733360,2.602195143,0.968764193,4.382028241,1,1,0,1,1
786782,6.308215758,0.07580575,4.051408677,1,0,0,1,1
610710,106.0083697,1.243480822,1.066860055,1,0,0,1,1
70575,107.5105557,1.632453924,8.923502474,1,0,0,1,1
836261,14.95256522,0.395700657,9.980020744,1,1,0,1,1
610206,281.2645296,3.455498255,2.64806281,1,0,0,1,1
104328,2.17495335,1.046611192,4.828782103,1,1,0,1,1
566542,201.7380956,0.401489682,0.312689064,1,0,0,1,1
659095,9.675745168,0.188988154,4.950929617,1,0,0,1,1
483870,149.1586941,37.19028813,0.300980417,1,0,0,1,1
289937,237.5126914,0.536597995,0.098961231,1,0,0,1,1
923261,12.06382811,0.226408794,4.102069073,1,0,0,1,1
751533,5.058909053,18.62487658,4.932193077,1,0,0,1,1
290960,1.313360502,1.44092266,8.14325233,0,0,0,1,1
189932,13.55309983,6.878502105,5.275903413,1,0,0,1,1
797596,239.2169511,0.043356136,1.509309804,1,0,0,1,1
994052,4.443742095,1.789307336,4.13218545,1,1,0,1,1
598689,9.289644736,0.990129591,47.39338774,1,1,0,1,1
753549,6.578942657,1.541943612,14.28943147,1,0,0,1,1
418095,2.324312324,0.491547932,4.76276533,1,1,0,1,1
902364,379.6064708,0.40690723,0.552276497,1,0,0,1,1
795253,141.6182972,1.206729625,1.49143905,1,0,0,1,1
297741,167.6600319,3.527021239,4.102088131,1,0,0,0,1
250050,152.3150959,0.77479936,1.982574821,1,0,0,1,1
